Date,Province,Daily_Case,Daily_Death,Daily_Recovered,Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
01/03/2020,DKI JAKARTA,2,0,0,2,2,0,0,2
02/03/2020,DKI JAKARTA,2,0,0,2,4,0,0,4
03/03/2020,DKI JAKARTA,2,0,0,2,6,0,0,6
04/03/2020,DKI JAKARTA,2,0,0,2,8,0,0,8
05/03/2020,DKI JAKARTA,0,1,0,-1,8,0,1,7
06/03/2020,DKI JAKARTA,0,0,0,0,8,0,1,7
07/03/2020,DKI JAKARTA,0,2,0,-2,8,0,3,5
08/03/2020,DKI JAKARTA,0,0,0,0,8,0,3,5
09/03/2020,DKI JAKARTA,0,1,0,-1,8,0,4,4
10/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
11/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
12/03/2020,DKI JAKARTA,2,1,4,-3,10,4,5,1
13/03/2020,DKI JAKARTA,4,1,3,0,14,7,6,1
14/03/2020,DKI JAKARTA,2,1,1,0,16,8,7,1
15/03/2020,DKI JAKARTA,8,3,0,5,24,8,10,6
16/03/2020,DKI JAKARTA,2,3,0,-1,26,8,13,5
17/03/2020,DKI JAKARTA,2,1,0,1,28,8,14,6
18/03/2020,DKI JAKARTA,1,1,0,0,29,8,15,6
19/03/2020,DKI JAKARTA,2,0,1,1,31,9,15,7
20/03/2020,DKI JAKARTA,5,3,1,1,36,10,18,8
21/03/2020,DKI JAKARTA,8,3,6,-1,44,16,21,7
22/03/2020,DKI JAKARTA,2,0,3,-1,46,19,21,6
23/03/2020,DKI JAKARTA,0,0,0,0,46,19,21,6
24/03/2020,DKI JAKARTA,16,19,3,-6,62,22,40,0
25/03/2020,DKI JAKARTA,1,1,0,0,63,22,41,0
26/03/2020,DKI JAKARTA,57,2,0,55,120,22,43,55
27/03/2020,DKI JAKARTA,74,7,6,61,194,28,50,116
28/03/2020,DKI JAKARTA,48,9,9,30,242,37,59,146
29/03/2020,DKI JAKARTA,52,10,0,42,294,37,69,188
30/03/2020,DKI JAKARTA,33,7,0,26,327,37,76,214
31/03/2020,DKI JAKARTA,44,10,0,34,371,37,86,248
01/04/2020,DKI JAKARTA,59,1,0,58,430,37,87,306
02/04/2020,DKI JAKARTA,70,5,2,63,500,39,92,369
03/04/2020,DKI JAKARTA,71,6,2,63,571,41,98,432
04/04/2020,DKI JAKARTA,57,8,5,44,628,46,106,476
05/04/2020,DKI JAKARTA,87,11,2,74,715,48,117,550
06/04/2020,DKI JAKARTA,103,7,7,89,818,55,124,639
07/04/2020,DKI JAKARTA,113,14,3,96,931,58,138,735
08/04/2020,DKI JAKARTA,90,8,5,77,1021,63,146,812
09/04/2020,DKI JAKARTA,228,34,5,189,1249,68,180,1001
10/04/2020,DKI JAKARTA,53,11,4,38,1302,72,191,1039
11/04/2020,DKI JAKARTA,190,10,7,173,1492,79,201,1212
12/04/2020,DKI JAKARTA,156,33,37,86,1648,116,234,1298
13/04/2020,DKI JAKARTA,135,7,1,127,1783,117,241,1425
14/04/2020,DKI JAKARTA,122,10,0,112,1905,117,251,1537
15/04/2020,DKI JAKARTA,143,9,20,114,2048,137,260,1651
16/04/2020,DKI JAKARTA,174,1,0,173,2222,137,261,1824
17/04/2020,DKI JAKARTA,170,7,35,128,2392,172,268,1952
18/04/2020,DKI JAKARTA,101,7,1,93,2493,173,275,2045
19/04/2020,DKI JAKARTA,113,3,25,85,2606,198,278,2130
20/04/2020,DKI JAKARTA,74,5,7,62,2680,205,283,2192
21/04/2020,DKI JAKARTA,183,2,59,122,2863,264,285,2314
22/04/2020,DKI JAKARTA,110,1,8,101,2973,272,286,2415
23/04/2020,DKI JAKARTA,122,0,4,118,3095,276,286,2533
24/04/2020,DKI JAKARTA,78,0,1,77,3173,277,286,2610
25/04/2020,DKI JAKARTA,78,19,7,52,3251,284,305,2662
26/04/2020,DKI JAKARTA,104,7,1,96,3355,285,312,2758
27/04/2020,DKI JAKARTA,66,13,1,52,3421,286,325,2810
28/04/2020,DKI JAKARTA,124,4,22,98,3545,308,329,2908
29/04/2020,DKI JAKARTA,110,0,75,35,3655,383,329,2943
30/04/2020,DKI JAKARTA,106,0,46,60,3761,429,329,3003
01/05/2020,DKI JAKARTA,135,4,2,129,3896,431,333,3132
02/05/2020,DKI JAKARTA,92,17,24,51,3988,455,350,3183
03/05/2020,DKI JAKARTA,129,5,112,12,4117,567,355,3195
04/05/2020,DKI JAKARTA,80,8,3,69,4197,570,363,3264
05/05/2020,DKI JAKARTA,132,1,66,65,4329,636,364,3329
06/05/2020,DKI JAKARTA,106,5,37,64,4435,673,369,3393
07/05/2020,DKI JAKARTA,82,8,4,70,4517,677,377,3463
08/05/2020,DKI JAKARTA,96,1,0,95,4613,677,378,3558
09/05/2020,DKI JAKARTA,98,3,5,90,4711,682,381,3648
10/05/2020,DKI JAKARTA,125,6,49,70,4836,731,387,3718
11/05/2020,DKI JAKARTA,81,6,9,66,4917,740,393,3784
12/05/2020,DKI JAKARTA,96,2,108,-14,5013,848,395,3770
13/05/2020,DKI JAKARTA,180,6,96,78,5193,944,401,3848
14/05/2020,DKI JAKARTA,135,2,134,-1,5328,1078,403,3847
15/05/2020,DKI JAKARTA,86,7,106,-27,5414,1184,410,3820
16/05/2020,DKI JAKARTA,101,0,18,83,5515,1202,410,3903
17/05/2020,DKI JAKARTA,127,3,11,113,5642,1213,413,4016
18/05/2020,DKI JAKARTA,79,0,0,79,5721,1213,413,4095
19/05/2020,DKI JAKARTA,94,7,21,66,5815,1234,420,4161
20/05/2020,DKI JAKARTA,84,1,3,80,5899,1237,421,4241
21/05/2020,DKI JAKARTA,70,8,130,-68,5969,1367,429,4173
22/05/2020,DKI JAKARTA,106,29,55,22,6075,1422,458,4195
23/05/2020,DKI JAKARTA,111,1,54,56,6186,1476,459,4251
24/05/2020,DKI JAKARTA,112,0,20,92,6298,1496,459,4343
25/05/2020,DKI JAKARTA,76,0,65,11,6374,1561,459,4354
26/05/2020,DKI JAKARTA,87,0,13,74,6461,1574,459,4428
27/05/2020,DKI JAKARTA,109,8,16,85,6570,1590,467,4513
28/05/2020,DKI JAKARTA,100,0,20,80,6670,1610,467,4593
29/05/2020,DKI JAKARTA,125,0,38,87,6795,1648,467,4680
30/05/2020,DKI JAKARTA,108,7,255,-154,6903,1903,474,4526
31/05/2020,DKI JAKARTA,113,1,70,42,7016,1973,475,4568
01/06/2020,DKI JAKARTA,157,2,185,-30,7173,2158,477,4538
02/06/2020,DKI JAKARTA,59,0,120,-61,7232,2278,477,4477
03/06/2020,DKI JAKARTA,91,5,181,-95,7323,2459,482,4382
04/06/2020,DKI JAKARTA,109,0,21,88,7432,2480,482,4470
05/06/2020,DKI JAKARTA,70,1,138,-69,7502,2618,483,4401
06/06/2020,DKI JAKARTA,117,0,86,31,7619,2704,483,4432
07/06/2020,DKI JAKARTA,168,4,287,-123,7787,2991,487,4309
08/06/2020,DKI JAKARTA,90,0,75,15,7877,3066,487,4324
09/06/2020,DKI JAKARTA,239,4,163,72,8116,3229,491,4396
